pl_name,pl_orbper,pl_orbsmax,pl_bmasse,pl_rade,pl_radelim,pl_radeerr1,pl_radeerr2,pl_trandep,pl_trandur,pl_bmasselim,pl_bmasseerr2,pl_bmasseerr1,pl_orbeccen,pl_orbincl,st_rad,st_mass,st_teff,pl_ratror,st_met,st_metlim,sy_jmag,pl_controv_flag,st_logg,st_tefferr1,st_tefferr2,st_raderr1,st_raderr2,pl_orbsmaxerr1,pl_orbsmaxerr2,sy_jmagerr1,sy_jmagerr2,pl_bmasseerr_avg,pl_radeerr_avg,st_tefferr_avg,st_raderr_avg,pl_orbsmaxerr_avg,sy_jmagerr_avg,g_planet_cgs,g_planet_cgs_err,pl_Teq,pl_Teq_err,pl_tsm,pl_tsm_err
G 9-40 b,5.7459982,0.0418,4.0,1.9,0.0,0.065,-0.065,0.365,1.693,0.0,-0.63,0.63,0.0,89.03,0.3026,0.2952,3395.0,0.0575,-0.07,0.0,10.058,0.0,4.84,51.0,-51.0,0.0095,-0.0095,0.00064,-0.00064,0.022,-0.022,0.63,0.065,51.0,0.0095,0.00064,0.022,1088.0856981966413,186.8458607936916,402.89702874904333,9.281289569677067,92.56090109201843,18.492567581611343
HD 191939 d,38.353037,0.2132,2.8,2.995,0.0,0.07,-0.07,0.10290917,5.36,0.0,-0.6,0.6,0.031,89.49,0.94,0.81,5348.0,0.02916,-0.15,0.0,7.597,0.0,4.3,100.0,-100.0,0.02,-0.02,0.0065,-0.0061,0.029,-0.029,0.6,0.07,100.0,0.02,0.0063,0.029,306.53120357445067,67.22993312670687,495.3015536189921,12.926390363198617,208.18833961192578,48.15634282217507
K2-18 b,32.939623,0.1429,8.92,2.37,0.0,0.22,-0.22,0.3098,2.682,0.0,-1.6,1.7,0.2,89.5785,0.411,0.359,3457.0,0.05375,0.12,0.0,9.763,0.0,4.7864,39.0,-39.0,0.038,-0.038,0.006,-0.0065,0.028,-0.028,1.65,0.22,39.0,0.038,0.00625,0.028,1559.4752080671583,408.701874391253,258.59024707677503,13.542313735145688,32.105484348174635,12.387506574357188
L 98-59 d,7.450729,0.0494,1.64,1.627,0.0,0.041,-0.041,0.1445,0.84,0.0,-0.07,0.07,0.006,88.44,0.3155,0.2923,3415.0,0.0448,-0.46,0.0,7.933,0.0,4.91,60.0,-60.0,0.0062,-0.0062,0.0016,-0.0016,0.027,-0.027,0.07,0.041,60.0,0.0062,0.0016,0.027,608.385780179526,40.18084186574586,380.6579289272226,9.834606820421872,327.8124994124873,32.62331466985521
LHS 1140 b,24.73723,0.0946,5.6,1.73,0.0,0.025,-0.025,0.538,2.15,0.0,-0.19,0.19,0.043,89.86,0.2159,0.1844,3096.0,0.0739,-0.15,0.0,9.612001,0.0,5.041,48.0,-48.0,0.003,-0.003,0.0017,-0.0017,0.023,-0.023,0.19,0.025,48.0,0.003,0.0017,0.023,1837.4102438056145,81.89282407127625,206.29545979302452,3.9648141029549238,61.64601573983464,4.035096942019602
LTT 3780 c,12.252284,0.0757,8.04,2.39,0.0,0.1,-0.11,0.3355,1.54,0.0,-0.48,0.5,0.024,88.958,0.38,0.381,3358.0,0.0579,0.06,0.0,9.007,0.0,4.85,92.0,-92.0,0.012,-0.012,0.0018,-0.0018,0.03,-0.03,0.49,0.10500000000000001,92.0,0.012,0.0018,0.03,1382.1989521690177,147.80341061724,331.84288879236016,11.210527637806445,77.67361558813423,12.621998456802931
TOI-1266 b,10.8945,0.073,4.46,2.52,0.0,0.08,-0.08,0.31683854,2.1288,0.0,-0.69,0.69,0.039,89.13,0.4232,0.437,3563.0,0.0545,-0.109,0.0,9.706,0.0,4.826,77.0,-77.0,0.0077,-0.0079,0.0011,-0.0011,0.023,-0.023,0.69,0.08,77.0,0.0078000000000000005,0.0011,0.023,689.6743745427391,115.33444246229168,378.38611098088614,9.335681317292563,109.36571020101765,20.48520538363374
TOI-1266 c,18.8027,0.105,3.17,1.98,0.0,0.1,-0.1,0.16867881,1.951,0.0,-0.76,0.76,0.071,89.17,0.4232,0.437,3563.0,0.0429,-0.109,0.0,9.706,0.0,4.826,77.0,-77.0,0.0077,-0.0079,0.0017,-0.0017,0.023,-0.023,0.76,0.1,77.0,0.0078000000000000005,0.0017,0.023,794.0341740927522,206.5740123991675,315.5018915614036,7.840039452668463,62.23253656964601,17.877563040680663
TOI-1452 b,11.06201,0.061,4.82,1.672,0.0,0.071,-0.071,0.309,1.7587777,0.0,-1.3,1.3,0.0,89.77,0.275,0.249,3185.0,,-0.07,0.0,10.604,0.0,4.95,50.0,-50.0,0.009,-0.009,0.003,-0.003,0.058,-0.058,1.3,0.071,50.0,0.009,0.003,0.058,1693.108556723854,478.7518316442029,298.2763576302287,9.977290192631646,36.49100039460706,11.252528723971503
TOI-1468 c,15.532477,0.08608,4.1,2.126,0.0,0.092,-0.093,0.276,1.86,0.0,-1.1,1.1,0.111,89.22,0.3714,0.3527,3376.0,0.0526,-0.01,0.0,9.343,0.0,4.846,45.0,-44.0,0.01,-0.01,0.00065,-0.00065,0.021,-0.021,1.1,0.0925,44.5,0.01,0.00065,0.021,890.7742391057014,251.24425048152688,309.3002161642257,5.94341003273972,89.6133873262774,27.237286096427706
TOI-178 g,20.71663,0.1275,4.4,2.939,0.0,0.057,-0.055,0.16605,2.167,0.0,-0.37,0.39,0.00043,88.823,0.662,0.647,4316.0,0.04075,-0.23,0.0,9.372,0.0,4.45,70.0,-70.0,0.01,-0.01,0.0038,-0.0039,0.021,-0.021,0.38,0.056,70.0,0.01,0.00385,0.021,500.22318474269565,47.21988323995504,433.7737863703845,10.154787448740388,97.61203700185746,10.817117729960142
TOI-2015 b,3.348237,0.029322,9.2,3.309,0.0,0.013,-0.011,0.87,0.9876,0.0,-0.35,0.32,0.0789,87.61,0.3273,0.3041,3297.0,0.09278,-0.31,0.0,11.118,0.0,5.04,14.0,-28.0,0.0029,-0.0051,3e-06,-3e-06,0.022,-0.022,0.33499999999999996,0.012,21.0,0.004,3e-06,0.022,825.0962353491194,30.634468417644587,485.8510214454358,4.28848974299215,136.6229168997521,6.440519673134637
TOI-244 b,7.397225,0.0559,2.68,1.52,0.0,0.12,-0.12,0.106,1.7,0.0,-0.3,0.3,,88.32,0.426,0.428,3433.0,0.0326,-0.39,0.0,8.827,0.0,4.66,100.0,-100.0,0.025,-0.025,0.0013,-0.0013,0.023,-0.023,0.3,0.12,100.0,0.025,0.0013,0.023,1139.0897152996088,220.4701548130995,418.00421788854214,17.95329177484502,65.27215941131195,18.957897545970823
TOI-2443 b,15.66858,0.105,4.8,2.363,0.0,0.066,-0.066,0.13933815,4.548,0.0,-1.1,1.1,0.301,89.72,0.631,0.642,4375.0,0.03436,-0.29,0.0,7.26,0.0,4.42,65.0,-65.0,0.014,-0.014,0.0025,-0.0025,0.021,-0.021,1.1,0.066,65.0,0.014,0.0025,0.021,844.158711541944,199.11740056562215,473.0489169237217,10.42344632392082,145.33419406171032,36.21316562600046
TOI-260 b,13.475853,0.0943,4.23,1.71,0.0,0.08,-0.08,0.07089462,2.37,0.0,-1.6,1.6,0.0,88.84,0.607,0.616,4026.0,0.0258,-0.47,0.0,7.376,0.0,4.45,14.0,-14.0,0.014,-0.014,0.0016,-0.0016,0.02,-0.02,1.6,0.08,14.0,0.014,0.0016,0.02,1420.5563282011703,553.521992887952,450.52638947074905,6.637479230003845,60.976341191679815,24.783833714969965
TOI-270 c,5.66051,0.04526,6.2,2.33,0.0,0.01,-0.01,0.38561061,1.682,0.0,-0.31,0.31,0.0044,89.36,0.38,0.386,3506.0,0.056,-0.17,0.0,9.099,0.0,4.872,70.0,-70.0,0.008,-0.008,0.00031,-0.00031,0.032,-0.032,0.31,0.01,70.0,0.008,0.00031,0.032,1121.4764545781475,56.89412371783786,448.0788038258526,10.229195450758844,120.79079113650162,8.691031361445653
TOI-270 d,11.38194,0.0721,4.2,2.0,0.0,0.05,-0.05,0.31470462,2.117,0.0,-0.16,0.16,0.0066,89.68,0.38,0.386,3506.0,0.0491,-0.17,0.0,9.099,0.0,4.872,70.0,-70.0,0.008,-0.008,0.0005,-0.0005,0.032,-0.032,0.16,0.05,70.0,0.008,0.0005,0.032,1031.097209753592,64.81368442985055,355.0128252545304,8.1068818515895,89.34866979763221,8.748747098566048
TOI-4438 b,7.44628,0.0534,5.4,2.52,0.0,0.13,-0.13,0.40457242,2.021,0.0,-1.1,1.1,0.14,89.34,0.372,0.368,3422.0,0.062,-0.19,0.0,9.695,0.0,4.68,81.0,-81.0,0.018,-0.018,0.0037,-0.0037,0.021,-0.021,1.1,0.13,81.0,0.018,0.0037,0.021,835.0317539306707,190.6730560409471,398.37200521627,19.29467562934845,123.7033154366538,34.38219002725376
